RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15615795,Johnson,416,France,Female,29,4,225721.23,3,0,1,125534.39,0
2,15600860,Rodriguez,353,Spain,Female,40,10,62202.42,2,0,0,91167.84,0
3,15676820,Smith,573,Spain,Male,32,9,234936.34,4,0,1,97267.6,0
4,15654886,Miller,350,Germany,Female,29,5,160467.05,1,0,1,158691.64,0
5,15606265,Brown,639,Germany,Female,21,7,112608.52,4,0,0,52289.16,0
6,15682386,Jones,458,Germany,Male,52,0,13282.83,1,1,1,14873.25,1
7,15637194,Martinez,614,France,Male,78,9,191294.03,2,1,0,64368.93,0
8,15687498,Jones,412,France,Male,44,6,214600.41,3,1,1,39470.97,1
9,15644131,Smith,809,Germany,Male,50,4,202396.15,2,1,1,75324.93,0
10,15660263,Garcia,615,Germany,Female,30,6,183916.52,4,0,0,49523.93,0
11,15616023,Rodriguez,487,France,Female,54,2,242352.79,4,1,1,28435.78,0
12,15641090,Johnson,783,Spain,Male,61,3,212275.7,2,1,1,167238.73,0
13,15667221,Miller,393,Spain,Male,19,1,231969.76,3,1,1,49793.15,0
14,15664820,Garcia,723,France,Male,55,5,182619.7,3,0,0,79123.51,0
15,15600769,Jones,781,Germany,Male,54,4,205051.79,1,0,0,10355.98,0
16,15659735,Brown,820,Spain,Female,76,0,72289.55,4,1,0,156623.66,0
17,15662955,Brown,611,France,Male,86,0,167224.79,1,0,1,98022.82,0
18,15664925,Garcia,565,Germany,Male,35,7,51384.7,2,1,0,174288.69,0
19,15667969,Brown,470,France,Female,65,7,17317.62,1,0,0,20037.44,0
20,15605311,Jones,501,France,Female,83,5,144814.1,3,1,1,41124.53,0
21,15683104,Garcia,562,Spain,Male,66,10,195727.24,4,0,1,58961.8,0
22,15653707,Jones,583,France,Male,75,8,20689.44,3,0,0,178750.14,0
23,15685305,Miller,700,France,Male,52,0,45320.43,1,1,0,77267.78,0
24,15628693,Rodriguez,460,France,Female,75,9,23241.85,2,0,1,45510.38,0
25,15671932,Martinez,791,France,Female,24,7,158544.49,1,0,0,162278.76,0
26,15693016,Miller,710,France,Female,26,1,19875.52,3,1,0,67441.5,0
27,15625658,Miller,669,Germany,Male,86,7,23323.89,4,1,1,76429.32,0
28,15684478,Brown,571,France,Male,21,2,66041.83,1,0,1,134377.44,1
29,15618431,Smith,789,Germany,Female,49,5,67558.72,4,1,1,82925.2,0
30,15602747,Davis,575,Germany,Female,22,6,139375.91,4,0,1,13129.14,0
31,15659150,Brown,559,France,Female,73,2,8046.59,1,0,1,197939.61,0
32,15665725,Smith,745,Germany,Male,73,1,153836.17,3,1,0,55344.82,0
33,15684654,Jones,768,Germany,Female,61,0,102927.04,2,1,0,56428.97,0
34,15635773,Davis,420,France,Female,89,4,44682.97,3,0,0,35448.43,0
35,15667435,Brown,838,France,Female,30,0,163336.57,1,1,1,40013.44,0
36,15656886,Davis,709,Germany,Male,21,0,82418.49,4,1,1,105374.56,0
37,15666803,Davis,438,Spain,Female,69,4,206872.36,3,1,0,188550.94,0
38,15631551,Williams,611,France,Male,32,2,247358.12,2,1,0,142468.09,0
39,15611394,Rodriguez,798,France,Male,18,9,194757.22,4,1,1,134939.91,0
40,15669092,Williams,715,France,Male,82,2,185747.5,2,1,1,78682.04,0
41,15603890,Smith,813,France,Female,28,10,88788.36,4,0,0,164489.77,0
42,15641606,Johnson,537,Germany,Male,78,6,133651.42,2,0,1,99937.12,0
43,15696276,Garcia,461,France,Female,80,2,13170.33,2,1,0,96928.95,0
44,15680038,Martinez,801,France,Male,55,1,181833.81,1,1,1,198956.8,0
45,15687313,Johnson,762,France,Male,86,2,168760.07,1,0,0,125699.6,0
46,15610627,Garcia,771,France,Male,62,10,67338.0,4,0,1,174954.44,1
47,15608792,Smith,588,France,Female,91,3,133534.11,1,1,0,109668.2,0
48,15673969,Smith,825,France,Female,87,8,169828.46,1,1,1,40728.6,0
49,15643001,Jones,605,France,Female,85,1,91973.52,2,1,1,197579.4,1
50,15676552,Martinez,499,Spain,Female,21,5,181402.02,4,1,0,134577.53,1
51,15623897,Rodriguez,476,Spain,Male,88,4,199178.15,2,1,1,38250.26,0
52,15668148,Davis,741,France,Male,65,5,55884.18,1,0,1,150609.5,0
53,15623483,Williams,668,Germany,Male,26,4,75313.53,1,0,0,93439.62,0
54,15648555,Williams,829,France,Male,64,5,100390.73,3,0,1,166253.86,1
55,15617159,Smith,830,France,Male,77,3,58919.54,2,1,1,62644.21,0
56,15680077,Williams,746,France,Female,69,7,193901.89,1,1,0,189040.89,0
57,15635920,Smith,760,France,Male,50,8,142960.68,4,0,0,66475.38,0
58,15692067,Davis,751,Germany,Female,75,9,95025.71,4,0,1,199481.86,0
59,15667121,Smith,623,France,Female,65,6,4015.47,1,0,1,143033.08,0
60,15669479,Jones,682,France,Female,22,10,81467.78,1,1,1,194544.99,0
61,15689475,Rodriguez,819,Spain,Male,44,0,209125.49,1,0,1,147590.56,0
62,15619457,Miller,795,Germany,Female,58,4,185877.89,4,0,1,153290.43,0
63,15666557,Brown,747,France,Female,18,6,16844.77,1,0,1,33061.87,0
64,15677189,Rodriguez,488,France,Female,68,4,200361.34,2,1,1,12851.68,1
65,15678953,Rodriguez,452,France,Female,33,4,44763.68,3,0,0,26416.53,1
66,15652995,Johnson,591,France,Male,49,4,246763.42,3,1,1,93082.18,0
67,15640757,Martinez,466,France,Male,64,4,217136.72,3,0,1,86395.17,0
68,15609692,Martinez,563,France,Male,40,10,228315.13,2,0,0,44930.72,0
69,15645758,Garcia,833,Germany,Female,32,4,192362.6,1,0,0,18257.19,0
70,15672409,Brown,366,Germany,Female,43,0,177694.2,3,0,1,141498.07,0
